;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Nivel de temperatura (ºC): ;15.80;Nivel de humedad (%): ;69.10;Nivel de polvo: ;0.55;0;0;0;01/11/2022
Nivel de temperatura (ºC): ;15.60;Nivel de humedad (%): ;69.60;Nivel de polvo: ;0.59;0;15;1;01/11/2022
Nivel de temperatura (ºC): ;15.20;Nivel de humedad (%): ;69.00;Nivel de polvo: ;0.57;0;30;3;01/11/2022
Nivel de temperatura (ºC): ;15.00;Nivel de humedad (%): ;69.30;Nivel de polvo: ;0.57;0;45;4;01/11/2022
Nivel de temperatura (ºC): ;14.90;Nivel de humedad (%): ;69.70;Nivel de polvo: ;0.63;1;0;6;01/11/2022
Nivel de temperatura (ºC): ;14.90;Nivel de humedad (%): ;70.90;Nivel de polvo: ;0.60;1;15;8;01/11/2022
Nivel de temperatura (ºC): ;14.70;Nivel de humedad (%): ;70.60;Nivel de polvo: ;0.56;1;30;9;01/11/2022
Nivel de temperatura (ºC): ;14.60;Nivel de humedad (%): ;70.70;Nivel de polvo: ;0.55;1;45;11;01/11/2022
Nivel de temperatura (ºC): ;14.40;Nivel de humedad (%): ;70.70;Nivel de polvo: ;0.63;2;0;12;01/11/2022
Nivel de temperatura (ºC): ;14.20;Nivel de humedad (%): ;70.80;Nivel de polvo: ;0.57;2;15;14;01/11/2022
Nivel de temperatura (ºC): ;14.00;Nivel de humedad (%): ;71.40;Nivel de polvo: ;0.58;2;30;15;01/11/2022
Nivel de temperatura (ºC): ;13.90;Nivel de humedad (%): ;71.40;Nivel de polvo: ;0.54;2;45;17;01/11/2022
Nivel de temperatura (ºC): ;13.70;Nivel de humedad (%): ;71.40;Nivel de polvo: ;0.52;3;0;18;01/11/2022
Nivel de temperatura (ºC): ;13.80;Nivel de humedad (%): ;71.60;Nivel de polvo: ;0.56;3;15;20;01/11/2022
Nivel de temperatura (ºC): ;14.00;Nivel de humedad (%): ;67.90;Nivel de polvo: ;0.55;3;30;21;01/11/2022
Nivel de temperatura (ºC): ;13.90;Nivel de humedad (%): ;67.40;Nivel de polvo: ;0.58;3;45;23;01/11/2022
Nivel de temperatura (ºC): ;13.80;Nivel de humedad (%): ;68.30;Nivel de polvo: ;0.58;4;0;24;01/11/2022
Nivel de temperatura (ºC): ;13.50;Nivel de humedad (%): ;70.70;Nivel de polvo: ;0.57;4;15;26;01/11/2022
